address	user_id	imei	name	username	company	ssn	registration	mail	birthdate	current_location	residence
"9115 Marc Village Suite 931
North Maryshire, CA 53054"	1662	359043379931766718	Crystal Elliott	amandaperez	Orr-Mcdaniel	321-65-8486	2020/09/01	lauren60@gmail.com	1939-05-15	(Decimal('-51.2333195'), Decimal('-169.225751'))	
"481 Eric Points
Bobbyshire, AR 60487"	1006	863033069630348065	Nicholas Bowers	cbrown	Cole-Phillips	420-18-7869	2020/04/23	brownedwin@yahoo.com		(Decimal('-79.9782345'), Decimal('-144.165244'))	
	383	3590433799317662097	Angela Scott	fgreen	Gardner PLC	558-82-2940	2023/04/17	joseph31@hotmail.com	1977-10-09	(Decimal('28.8123455'), Decimal('-118.015853'))	"401 Cody Skyway
South Katelyn, NC 72619"
"10152 Andrew Center
Nataliestad, CT 50668"	696	359043379931766049	Thomas Thomas	johnsonwillie	Malone PLC	811-59-0594	2018/01/20	kellysilva@yahoo.com		(Decimal('-2.3817375'), Decimal('-96.244811'))	"71072 Maria Village
West Victorview, NH 93097"
"3295 Diaz Heights
Thompsonburgh, LA 87975"	936	3590433799317661578	Madeline Graves	davisalison	Chavez, Thompson and Adams	189-47-2846	02/04/2024, 00:00:00	zcampbell@hotmail.com		(Decimal('31.7184595'), Decimal('-98.681295'))	
"826 Shelly Ports Apt. 151
South Lindaburgh, VA 61410"	1958	359043379931766379	Zachary Perry	ljones	Beltran and Sons	833-45-3924	2023-07-11	zsanders@hotmail.com	2010-07-24	(Decimal('56.6249795'), Decimal('-89.767576'))	"3380 Kelly Forest Suite 466
East Mary, GU 84830"
"32016 Nicholas Prairie
Gonzalezhaven, OH 37497"	1905	3590433799317662253	Cassandra Johnston	zhendricks	Hernandez Ltd	732-08-6237	2020-12-30	herreraleslie@gmail.com	2014-05-15	(Decimal('16.294218'), Decimal('-8.276310'))	
"26468 Jeffery Isle Apt. 899
Cruzside, PR 92921"	2002	3590433799317662105	Angela Castro	stephenhernandez	Lewis, Cooper and Buck	667-36-0656	18 May 2024	lori30@yahoo.com	1959-07-15	(Decimal('69.506703'), Decimal('-35.521659'))	"719 Sandoval Parks
East Larrybury, MT 92137"
"49225 Michael Port Apt. 660
Stevenhaven, IA 89738"	387	359043379931766601	Matthew Boyer	greenjared	Castaneda, Norris and Jones	674-82-1023	03/18/2024, 00:00:00	ydiaz@hotmail.com	1973-01-18	(Decimal('23.314124'), Decimal('124.802897'))	
	1841	3590433799317661065	Michael Gonzalez	dominic98	Hull-Silva	550-09-9780	01/10/2020, 00:00:00	gsanders@yahoo.com	1967-08-25	(Decimal('84.475028'), Decimal('119.730149'))	
	13	8630330696303482360	Peter Larson	msmith	Williams-Bryant	820-05-3137	2022/06/11	duncanrebecca@hotmail.com		(Decimal('-10.167153'), Decimal('-53.285744'))	
	856	3590433799317661347	Mark Edwards	ramirezcheryl	Graves-Davis	108-54-1523	2018/08/29	anthonysmith@hotmail.com		(Decimal('13.5012285'), Decimal('76.694051'))	
"04220 Luis Trail
Lake Bryan, NE 03640"	2286	863033069630348636	Rose Meadows	christina89	Wallace-Harrington	730-08-9287	2018/07/12	craigperry@yahoo.com		(Decimal('71.1072595'), Decimal('-126.165754'))	
"38171 Hanson Station
East Colleenfurt, MT 14885"	2467	3590433799317661834	Collin Torres	richardsedwin	Small, Golden and Benton	865-61-7341	2021-02-11	reginamcdonald@gmail.com		(Decimal('37.525220'), Decimal('-56.652352'))	
"793 Thomas Camp
Joneston, NH 89440"	186	3590433799317662352	Cory Hunter	popebryan	Perry PLC	551-11-5691	2018-05-21	johnnydiaz@hotmail.com		(Decimal('-7.0945925'), Decimal('44.464822'))	"6945 Andrea Corners
East Brandonstad, FL 85113"
"5019 Sydney Parkway
Josemouth, AR 20953"	2441	359043379931766221	Faith Anderson	stevensricardo	Jackson, Anderson and Juarez	350-10-1445	2024/04/05	brandonbryant@yahoo.com		(Decimal('35.7700175'), Decimal('116.561304'))	
"93856 Derek Rest Apt. 598
Port Johnborough, WV 34066"	2414	863033069630348768	Marcus Vasquez	jerry15	Tran PLC	473-03-1535	05 Oct 2017	tyronebaker@yahoo.com		(Decimal('-89.7752765'), Decimal('-63.889370'))	"Unit 1325 Box 0937
DPO AE 07283"
"461 Timothy Lock
Mccartymouth, MP 67432"	2377	863033069630348560	Katie Garrison	rjensen	Hardy LLC	422-75-9826	2019-12-13	arthur52@yahoo.com		(Decimal('-79.9677095'), Decimal('-101.059762'))	"1958 Marshall Well Suite 237
Lake Walter, PR 94302"
"USNS Craig
FPO AE 69608"	259	3590433799317661784	Scott Roberts	derek11	Henderson, Snyder and Herman	310-95-0541	06/14/2024, 00:00:00	floydoscar@yahoo.com	1991-03-13	(Decimal('74.4406215'), Decimal('-168.418996'))	"491 Mccall Squares Suite 869
East Michelle, KY 80317"
"628 Ramos Extension Suite 959
Kiarastad, OR 94971"	559	863033069630348933	Maria Weber	matthew33	Foster-Orr	738-13-3931	01/10/2022, 00:00:00	darlene17@hotmail.com	1910-01-12	(Decimal('59.1313065'), Decimal('-37.391697'))	
"79663 Alexander Locks Apt. 133
North Victorville, VA 36683"	2476	3590433799317661941	Jesse Ellis	lori08	Perez, Miller and Ford	043-21-5330	05/28/2021, 00:00:00	edwardsashley@hotmail.com		(Decimal('-89.5463325'), Decimal('-50.229633'))	"USCGC Moreno
FPO AP 31451"
"800 Cabrera Ridge
Murphystad, WY 29724"	763	3590433799317661693	Michael Vaughan	thomasmontgomery	Jackson-Peterson	561-05-5617	09/08/2018, 00:00:00	sheri42@gmail.com	1994-04-15	(Decimal('-5.1523325'), Decimal('-9.010235'))	
"119 Rivera Fields Apt. 749
Burgessborough, WI 47758"	1399	359043379931766437	Mrs. Samantha Wood DDS	michaelmay	George, Singleton and Wilkinson	566-19-1535	2022/08/28	wjames@gmail.com	1918-08-01	(Decimal('-5.5100675'), Decimal('-3.389452'))	"42638 Craig Ridges Apt. 733
Hollandland, CA 36007"
"85863 Dale Track Suite 203
West Alex, IA 32910"	1020	863033069630348420	Victoria Patrick	morenovictoria	Hill, Sosa and Jackson	697-97-8329	2019/06/05	ktorres@yahoo.com	1926-12-24	(Decimal('-15.800276'), Decimal('-74.150680'))	"3004 Collins Viaduct Apt. 623
North Michaelport, SD 90223"
"383 King Turnpike
Parkerberg, SC 32056"	2105	3590433799317662436	Mary Bowers	frankemily	Olson, Frederick and Saunders	252-80-0136	2018-04-07	usimmons@hotmail.com		(Decimal('-22.682752'), Decimal('96.614773'))	"6303 Silva Lights Suite 993
Hansenport, OK 01607"
"381 Wright Point Apt. 379
New Steveview, LA 50865"	1979	3590433799317661826	Nancy Walker	uvaldez	Allen-Contreras	883-21-7726	2018/04/25	medinahector@yahoo.com		(Decimal('23.037959'), Decimal('167.131956'))	
"Unit 1661 Box 0937
DPO AP 51438"	372	3590433799317661743	Mrs. Tina Robinson MD	riverarobert	Maldonado, Taylor and Maldonado	275-90-5635	01 Aug 2019	rebecca42@yahoo.com	1980-11-27	(Decimal('-39.667246'), Decimal('-163.375199'))	
"6719 Angela Oval Suite 540
South Jessicatown, GA 98224"	792	3590433799317661636	Kelly Simpson	thomasgibson	Hernandez, Davis and Cowan	479-77-3364	2019/02/12	rebecca02@hotmail.com	1920-02-26	(Decimal('-55.8196175'), Decimal('57.451581'))	"7183 Briana Ridges
East Ravenfort, VT 53396"
"8975 Mendez Overpass
East Joseph, NC 23579"	146	3590433799317661453	William Berry	thomas72	Velasquez-Foster	003-07-7271	12 Oct 2018	barkerjared@hotmail.com		(Decimal('31.9477945'), Decimal('-19.955044'))	"350 Jennifer Heights Apt. 204
Kennethport, OK 83113"
"665 Adams Stravenue Suite 391
West Ernest, MI 90787"	2397	863033069630348305	Crystal Clark	dawncampbell	Herman, Gallegos and Coleman	571-33-4352	2023/10/27	dianajohnson@gmail.com	1965-05-05	(Decimal('-55.849841'), Decimal('117.206144'))	
"39304 Knight Keys Suite 716
Nicoleborough, AS 01510"	1107	3590433799317661008	Calvin Jones	adamswilliam	Prince, Jordan and Oconnell	667-33-0539	2022/02/17	cwade@hotmail.com	1976-03-28	(Decimal('87.472506'), Decimal('154.745735'))	"7327 Walter Isle
Port Corey, NH 88917"
	2304	8630330696303481081	Tina Mccoy	robert90	Brown-Morgan	367-23-7427	02/10/2022, 00:00:00	christopher80@hotmail.com	1955-06-06	(Decimal('41.6580475'), Decimal('-119.506440'))	"84029 Scott Keys
West Louisville, WV 57052"
"3794 Jones Forges
East Tiffany, VI 31608"	620	8630330696303481867	Gregory Tate	zrodriguez	Lyons LLC	011-99-4121	09/10/2022, 00:00:00	justinfowler@hotmail.com		(Decimal('18.5173495'), Decimal('-64.524276'))	
"16525 Nelson Forge Suite 656
Lake Stephanie, NV 72391"	84	8630330696303481453	Richard Reed	dwaynejohnson	Daniels, Moreno and Barton	250-57-6415	16 Sep 2018	xespinoza@yahoo.com	1936-08-05	(Decimal('-20.3161465'), Decimal('94.879760'))	
"8158 Maria Mills Apt. 334
Danfurt, NH 62305"	368	3590433799317662063	Nancy Bullock	iprince	Morris Group	793-76-2658	24 Dec 2023	awright@gmail.com	2008-04-29	(Decimal('-50.9562615'), Decimal('126.025996'))	"44964 Simpson Land
New Anthonymouth, WA 22949"
"906 Melissa Gateway Suite 212
North Roberthaven, NE 13996"	416	8630330696303481255	Jennifer Bell	nancy70	Jones, Harris and Beard	169-04-2311	2019/09/27	pmcintosh@gmail.com	1972-08-30	(Decimal('9.293769'), Decimal('103.620520'))	
	392	8630330696303481875	Amanda Morrison	edixon	Garcia and Sons	465-83-9360	11/24/2020, 00:00:00	mckeejuan@gmail.com	1968-10-14	(Decimal('42.561302'), Decimal('67.079125'))	
"44786 Justin Freeway Suite 355
New Joshua, OK 53164"	2015	863033069630348024	Eric Jackson	tiffany71	Pacheco, Shaw and Nichols	555-25-9041	2024-04-28	emily89@yahoo.com	2020-12-01	(Decimal('-23.721813'), Decimal('102.217463'))	"0331 Simmons Circles Suite 535
North Larry, IL 33437"
"108 Craig Knoll
Markshire, TN 47315"	2428	359043379931766486	Andrew Duran	daniel59	Glass-Haney	648-99-0640	14 Jan 2023	traviscourtney@yahoo.com	1908-11-30	(Decimal('17.880455'), Decimal('-86.634632'))	
	113	3590433799317661271	Bryan Stark	aboyer	Ellis Group	074-83-8100	2022/06/28	colemichael@gmail.com		(Decimal('-21.7342395'), Decimal('58.401105'))	
"95519 Kenneth Forks Apt. 559
South Tylerfurt, IL 52952"	823	8630330696303482261	Erika Simmons	emily48	Nguyen PLC	551-74-3985	2019/10/26	dayveronica@yahoo.com		(Decimal('27.977089'), Decimal('72.593759'))	"893 White Common Apt. 764
West Heatherton, RI 32291"
"6343 Lee Gardens Suite 031
Faulknermouth, OK 64196"	1474	3590433799317662493	Jordan Krueger	allensteven	Smith Ltd	399-18-2009	04/06/2018, 00:00:00	sobrien@yahoo.com		(Decimal('-22.409258'), Decimal('24.774073'))	
	1604	3590433799317661180	Joseph Wilson	amy80	Cruz Group	396-45-5987	29 Sep 2020	chavezmiguel@yahoo.com		(Decimal('-21.0263815'), Decimal('-138.432814'))	"701 Sarah Run Apt. 131
Valenzuelaport, NV 05739"
"6503 William Rapids Apt. 104
Riverschester, MH 94226"	1454	359043379931766734	Jeffrey Anderson	stephen70	Small Group	036-34-0538	2024-07-01	ohall@yahoo.com	1987-11-29	(Decimal('64.0893845'), Decimal('-58.945716'))	"PSC 9737, Box 9594
APO AE 03510"
"057 Megan Unions Suite 755
West Jason, RI 81282"	703	359043379931766510	Jeffrey Blake	sergio56	Stanley-Henry	637-43-4803	02/21/2018, 00:00:00	camachogary@gmail.com		(Decimal('-0.4900785'), Decimal('-104.153649'))	
	1217	863033069630348883	Samantha Sexton	joshuagreene	Patel-Dixon	172-88-8408	2022/09/26	tommyliu@yahoo.com	2015-01-03	(Decimal('27.399692'), Decimal('4.345208'))	
	934	8630330696303481438	Laura Gonzalez	gknight	Peters, Caldwell and Russell	625-91-2683	2022-07-23	kimsavage@hotmail.com	2002-02-17	(Decimal('36.778394'), Decimal('48.684980'))	
"91474 Jerome Loop
Mccarthystad, NM 54943"	2009	863033069630348289	Gabrielle Dunn	oliviadaniel	Huang-Lopez	632-35-9324	08 Aug 2023	tammygraham@hotmail.com		(Decimal('88.119288'), Decimal('-70.248066'))	
"05692 Johnson Forks Suite 201
New Sarah, GA 34410"	1282	8630330696303481446	Adam Young	whitejames	Flores, Lozano and Davis	845-81-4061	2022/02/11	timothypeterson@gmail.com		(Decimal('77.4728585'), Decimal('-46.210699'))	
	2434	8630330696303481768	Jamie Murillo	idavies	Nelson-Davenport	786-73-2775	02/21/2019, 00:00:00	brian10@yahoo.com	1910-01-28	(Decimal('-29.845242'), Decimal('-105.052131'))	
	471	3590433799317661289	Jason Bauer	smithbrian	Vincent-Phelps	771-74-3987	2022/04/18	xwilkinson@hotmail.com	1954-06-05		
"43093 Perez Manors Apt. 011
Lake Claire, SD 78598"	1673	8630330696303481107	Anthony Ramirez	kirsten28	Bernard and Sons	705-09-2217	2018/11/22	rhondahansen@yahoo.com	1919-10-15	(Decimal('48.5740025'), Decimal('-73.773398'))	
"0667 Kim Light
North Ronaldfurt, DE 38495"	2398	3590433799317661263	Kim Warren	maria31	Phillips, Wilson and Henry	144-62-6056	2020-11-03	ereynolds@yahoo.com	2016-09-29	(Decimal('11.6664815'), Decimal('28.471651'))	"21815 Solis Circle
New Matthew, MD 71931"
"019 Jessica Summit
Johnsonhaven, NM 83242"	839	8630330696303482410	Amanda Mcclure	middletonmariah	May Ltd	099-25-2229	06/01/2020, 00:00:00	andrew55@hotmail.com	1998-01-23	(Decimal('44.7705955'), Decimal('110.955629'))	
"964 Webster Creek Apt. 882
North Heathershire, OK 54455"	1372	3590433799317661271	Linda Daniels	christopherfletcher	Welch-Miller	825-69-2214	2020-07-04	maria30@yahoo.com		(Decimal('65.5522215'), Decimal('66.144836'))	
	322	359043379931766247	Kevin Delgado	melissagould	Good-Thompson	614-50-9769	03/02/2018, 00:00:00	jennifer11@hotmail.com	1958-10-24	(Decimal('58.775004'), Decimal('-163.036244'))	"831 Justin Ramp
Joshuafurt, NH 44520"
"98280 Brown Meadow
Solisborough, WI 74554"	1177	8630330696303481354	Tamara Burch	anna34	Washington LLC	652-32-4405	2022/12/16	daniellegraves@hotmail.com		(Decimal('76.8221625'), Decimal('12.562298'))	
"798 Timothy Stream Apt. 072
Katelynview, NJ 59886"	110	863033069630348644	Marc Jones	johnhughes	Morales and Sons	296-90-8337	26 Jun 2024	mariawilson@gmail.com	2021-12-13	(Decimal('-83.251479'), Decimal('-126.769399'))	
"32298 Carlson Vista Apt. 851
Port Brian, PR 92592"	846	3590433799317661883	Amy Mcdaniel	fbeltran	Sullivan-Powell	451-04-7529	27 Apr 2021	urichardson@gmail.com	1927-11-22	(Decimal('-79.363248'), Decimal('-101.802311'))	
"Unit 1498 Box 4934
DPO AA 44573"	57	8630330696303482154	Kelly Hartman	ianjohnson	Munoz-Smith	448-11-5956	2018-03-29	marshallalicia@gmail.com		(Decimal('-84.222471'), Decimal('120.524428'))	
"6699 Snyder Prairie Suite 207
Cunninghamview, MA 45237"	204	3590433799317661362	Dwayne Butler	harrisandres	White-Harrell	857-75-6085	2022/11/18	zgray@gmail.com	1972-05-29	(Decimal('2.6791775'), Decimal('149.377201'))	
"Unit 2671 Box 8529
DPO AE 65746"	1262	3590433799317661651	Jose Waters	nicholas49	Waller Inc	718-21-7475	2024-02-29	amoore@hotmail.com		(Decimal('32.1104235'), Decimal('123.590481'))	
"941 Fernandez Corners Suite 110
East Courtneymouth, RI 10124"	959	359043379931766890	Jeanette Washington	dylan81	Lowery PLC	407-16-0533	2022/05/13	ddiaz@gmail.com	1971-12-29	(Decimal('55.532872'), Decimal('102.749514'))	
"PSC 4694, Box 7934
APO AP 25972"	867	8630330696303481149	Bradley Suarez	chandlerdawn	Myers, Byrd and Navarro	380-10-4745	2021/01/27	richard97@gmail.com	2014-06-13	(Decimal('17.638864'), Decimal('-27.738880'))	"PSC 3697, Box 7522
APO AP 45670"
"5265 Watts Ridge Suite 628
Javiershire, NC 47696"	1321	8630330696303482410	Michelle Lane	anitasmith	Gallegos, Wise and Williams	534-75-9407	30 Oct 2019	markpowell@hotmail.com	1925-07-04	(Decimal('-35.4967625'), Decimal('179.107626'))	
"60988 Dawson River Suite 986
Riverastad, IA 48132"	638	359043379931766767	Tyler Bell	lfreeman	Richardson LLC	104-54-7957	2017/10/14	gmolina@hotmail.com	2010-10-14	(Decimal('23.438530'), Decimal('-118.500943'))	"PSC 0843, Box 0180
APO AE 99146"
	1529	863033069630348917	Lisa Wood	potteranthony	Johnson, Beck and Castaneda	440-91-9614	12/02/2021, 00:00:00	hayesnicole@yahoo.com	1909-04-22	(Decimal('20.4283105'), Decimal('-26.023591'))	
"6611 Thomas Burgs
Gomezstad, OH 55160"	357	8630330696303481354	James Kelly	vargasamy	Olson Group	150-74-3352	11/13/2023, 00:00:00	rachel03@hotmail.com	1946-09-17	(Decimal('80.698453'), Decimal('110.454938'))	
"102 Taylor Rue Apt. 587
Kellyfurt, SD 98332"	2338	8630330696303482329	Joseph Hill	mcdowelldavid	Miller Ltd	042-38-3027	2023-12-10	rhill@hotmail.com		(Decimal('88.5365175'), Decimal('70.972079'))	
"18607 Bishop Shoals
South Marcusfurt, OK 31944"	570	3590433799317661016	Denise Orr	mosesjulie	Howard-Long	641-70-8280	2019/06/05	steven52@hotmail.com	1962-07-02		
"16646 Jackson Knolls Suite 881
Michaeltown, MN 25822"	100	8630330696303481958	Christopher Townsend Jr.	taylorshane	Bennett, Jones and Reed	731-89-4900	2024/02/06	goodwindavid@gmail.com	1958-10-22	(Decimal('24.5823295'), Decimal('171.412732'))	"PSC 6193, Box 2021
APO AA 97372"
"4457 Mosley Ramp Suite 518
Port Cameronland, CA 03756"	2094	8630330696303481313	Anthony Salinas	clarkthomas	Williams-Stark	260-98-3713	07 Sep 2022	rhodesdaniel@yahoo.com		(Decimal('50.7779415'), Decimal('50.262861'))	
"2592 Steven Junctions Suite 437
Lake Franceston, MH 33529"	2386	3590433799317661107	Robert Gordon	thomasjames	Rogers and Sons	867-20-4085	11 Mar 2019	nicole33@hotmail.com	1940-12-07	(Decimal('-15.5980015'), Decimal('43.836922'))	
	1952	359043379931766130	Charles Jones	diane19	Thomas-Beard	650-76-9642	08 Feb 2018	ntapia@gmail.com		(Decimal('-46.1828535'), Decimal('-41.364428'))	"42655 Richardson Stream Suite 940
Fisherberg, KY 84866"
"823 Joyce Tunnel Suite 622
Port Thomasburgh, GA 70257"	2168	359043379931766403	Katrina Reid	grace75	Donovan Ltd	195-17-0434	2020/02/01	corey87@yahoo.com		(Decimal('-75.680529'), Decimal('-27.767991'))	"9308 Spencer Fields Apt. 316
Richardsmouth, NM 84448"
	357	3590433799317661909	Gabriel Thompson	william22	Cook Group	233-88-0518	17 Jul 2019	carolyn84@yahoo.com		(Decimal('43.9459065'), Decimal('-177.846932'))	
"05324 Ashlee Points Suite 396
Roberttown, IL 58740"	396	3590433799317662303	Theresa Johnson	ofuentes	Hall-Nunez	718-16-5222	11/20/2018, 00:00:00	laura42@gmail.com		(Decimal('-48.8845065'), Decimal('109.308686'))	"679 Sara Prairie Apt. 200
New Joshuaside, ME 04984"
"80606 Amber Knolls Suite 475
East Heatherstad, NE 73340"	528	3590433799317661446	Tanya Kelley	qsmith	Serrano-Lopez	741-34-7797	2024/02/22	tarascott@yahoo.com		(Decimal('46.954696'), Decimal('-160.523355'))	"195 Benjamin Meadow
New Alicia, AL 95484"
"Unit 3721 Box 6229
DPO AA 71598"	2169	863033069630348289	Elizabeth Patton	vbeck	Jones-Skinner	621-19-6389	08/01/2019, 00:00:00	tylerthompson@yahoo.com		(Decimal('20.1700765'), Decimal('123.652883'))	
"097 James Oval Suite 014
Port Steven, MT 25810"	1751	8630330696303481529	Pam Lewis	mullinssean	Taylor-Delgado	366-31-4024	12 Nov 2021	awalker@hotmail.com		(Decimal('18.6944585'), Decimal('12.502217'))	
"16692 Schmidt Radial
West Marychester, NJ 24839"	38	359043379931766064	Matthew Powers	gregsmith	Bass-Dyer	847-31-9293	10/23/2018, 00:00:00	npark@gmail.com		(Decimal('53.3679575'), Decimal('29.105379'))	
"03406 Shane Forges
Karlport, FL 23291"	725	863033069630348321	Victoria Cook	pcruz	Reyes Inc	425-95-5062	2018-11-22	nwalker@gmail.com		(Decimal('53.493547'), Decimal('130.343533'))	
"404 Mitchell Circles Apt. 339
Gonzalezfurt, VT 15332"	117	359043379931766536	Katherine Mclean	thorntonkrista	Williams, Torres and Walton	757-87-8025	29 Apr 2022	brownjody@yahoo.com	1996-08-07	(Decimal('46.740669'), Decimal('-56.924396'))	
